金露苑,本月均价：70816元/平米,所在板块：浦东 源深,总户数：31200户,绿化率：38%（绿化率高）,停车位：24,物业类型：公寓,竣工时间：2000年,金露苑  [浦东-源深- 张杨路1667弄1-11号],
南国花园,本月均价：43536元/平米,所在板块：闵行 七宝,总户数：362户,绿化率：38%（绿化率高）,停车位：120,物业类型：公寓,竣工时间：1996年,南国花园  [闵行-七宝- 七莘路3198弄1-40号],
蒲汇别墅,本月均价：60757元/平米,所在板块：闵行 七宝,总户数：268户,绿化率：40%（绿化率高）,停车位：130,物业类型：别墅,竣工时间：1993年,蒲汇别墅  [闵行-七宝- 新镇路1258弄],
中山公寓,本月均价：76590元/平米,所在板块：长宁 中山公园,总户数：480户,绿化率：40%（绿化率高）,停车位：300,物业类型：公寓,竣工时间：2002年,中山公寓  [长宁-中山公园- 长宁路1277弄],
虹桥新天地,本月均价：29832元/平米,所在板块：长宁 西郊,总户数：560户,绿化率：40%（绿化率高）,停车位：130,物业类型：公寓,竣工时间：2004年,虹桥新天地  [长宁-西郊- 虹梅路3721号],
金汇豪庭,本月均价：59906元/平米,所在板块：闵行 古美,总户数：536户,绿化率：50%（绿化率高）,停车位：627,物业类型：公寓,竣工时间：2006年,金汇豪庭  [闵行-古美- 龙茗路2121弄],
东唐苑北区,本月均价：41176元/平米,所在板块：浦东 唐镇,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2002年,东唐苑北区  [浦东-唐镇- 唐镇路321弄,唐镇路379弄,唐镇路341弄,唐镇路275弄],
巨峰家苑,本月均价：56562元/平米,所在板块：浦东 金桥,总户数：300户,绿化率：35%（绿化率高）,停车位：200多个,物业类型：公寓,竣工时间：2005年,巨峰家苑  [浦东-金桥- 巨峰路758弄],
上海望族城,本月均价：59431元/平米,所在板块：徐汇 龙华,总户数：600户,绿化率：30%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：1997年,上海望族城  [徐汇-龙华- 漕溪路251弄],
东天乐,本月均价：12044元/平米,所在板块：松江 泖港,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：暂无数据,东天乐  [松江-泖港- 新旭路80弄12-23号],
虹桥新天地,本月均价：29832元/平米,所在板块：长宁 西郊,总户数：560户,绿化率：40%（绿化率高）,停车位：130,物业类型：公寓,竣工时间：2004年,虹桥新天地  [长宁-西郊- 虹梅路3721号],
瑞达新苑,本月均价：78358元/平米,所在板块：浦东 世纪公园,总户数：300户,绿化率：43%（绿化率高）,停车位：72,物业类型：公寓,竣工时间：2005年,瑞达新苑  [浦东-世纪公园- 樱花路515弄],
路劲上海派,本月均价：30000元/平米,所在板块：嘉定 安亭,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2015年,路劲上海派  [嘉定-安亭- 荣轩路60弄,双浦路70弄],
绿缘公寓,本月均价：73945元/平米,所在板块：浦东 世纪公园,总户数：900户,绿化率：45%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：2000年,绿缘公寓  [浦东-世纪公园- 花木路718弄],
新凯家园(二期),本月均价：35117元/平米,所在板块：松江 泗泾,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：2009年,新凯家园(二期)  [松江-泗泾- 新家园路30弄,新家园路128弄],
华府天地,本月均价：162439元/平米,所在板块：黄浦 新天地,总户数：108户,绿化率：35%（绿化率高）,停车位：484,物业类型：公寓,竣工时间：2006年,华府天地  [黄浦-新天地- 马当路222弄],
颐景园,本月均价：36248元/平米,所在板块：浦东 惠南,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2016年,颐景园  [浦东-惠南- 听锦路36弄,听锦路35弄,拱泰路29弄],
复旦书馨公寓,本月均价：65919元/平米,所在板块：杨浦 五角场,总户数：400户,绿化率：38%（绿化率高）,停车位：400个,物业类型：公寓,竣工时间：2003年,复旦书馨公寓  [杨浦-五角场- 国权后路15弄],
乐业一村,本月均价：33928元/平米,所在板块：宝山 月浦,总户数：暂无数据,绿化率：25%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：1995年,乐业一村  [宝山-月浦- 春雷路331弄,春雷路431弄1-57号],
怡桂苑,本月均价：70540元/平米,所在板块：徐汇 田林,总户数：418户,绿化率：35%（绿化率高）,停车位：90,物业类型：公寓,竣工时间：2000年,怡桂苑  [徐汇-田林- 桂林路505弄],
碧云新天地家园(一期),本月均价：65602元/平米,所在板块：浦东 金桥,总户数：暂无数据,绿化率：36%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2002年,碧云新天地家园(一期)  [浦东-金桥- 长岛路823弄,长岛路825弄],
